transaction_id,transaction_type,cost_centre,supplier,category,amount_gbp,invoice_date,due_date,forecast_month,status,risk_level,variance_driver,finance_owner,commentary
FIN-0001,Invoice,Precision Machining,Okuma UK,Machine maintenance,48250,2026-07-03,2026-08-17,2026-08,Approved,Medium,Planned preventive maintenance,Amelia Stone,Annual spindle service on high utilisation machining line
FIN-0002,Invoice,Precision Machining,Sandvik Coromant,Cutting tools,31780,2026-07-08,2026-08-22,2026-08,Pending,Low,Normal tooling replenishment,Amelia Stone,Standard insert and tooling order for August production
FIN-0003,Accrual,Precision Machining,DMG Mori,Engineering support,14600,2026-07-12,2026-08-26,2026-08,Review,Medium,Unplanned engineering support,Amelia Stone,Additional commissioning support for machine calibration
FIN-0004,Forecast,Precision Machining,Renishaw Internal,Labour absorption,62800,2026-07-15,2026-08-31,2026-08,Approved,Low,Volume-linked labour recovery,Amelia Stone,Forecasted labour absorption based on production plan
FIN-0005,Invoice,Additive Manufacturing,EOS GmbH,Materials,39240,2026-07-04,2026-08-18,2026-08,Approved,Medium,High-value powder batch,Noah Patel,Metal powder purchase for customer prototype schedule
FIN-0006,Invoice,Additive Manufacturing,Materialise,Software services,18850,2026-07-09,2026-08-23,2026-08,Pending,Low,Recurring platform subscription,Noah Patel,Build preparation and simulation software renewal
FIN-0007,Capex,Additive Manufacturing,AM Solutions,Post-processing equipment,86500,2026-07-11,2026-09-10,2026-09,Review,High,Capex approval threshold,Noah Patel,Post-processing unit requested to reduce manual finishing queue
FIN-0008,Forecast,Additive Manufacturing,Renishaw Internal,Prototype recovery,-22500,2026-07-16,2026-08-30,2026-08,Approved,Low,Customer prototype recharge,Noah Patel,Expected recharge against two customer-funded prototype projects
FIN-0009,Invoice,Metrology Services,Mitutoyo UK,Calibration equipment,27560,2026-07-05,2026-08-19,2026-08,Approved,Medium,Service kit refresh,Grace Hughes,Replacement calibration artefacts for field service engineers
FIN-0010,Invoice,Metrology Services,DHL Express,Customer logistics,11980,2026-07-07,2026-08-21,2026-08,Pending,Medium,Premium shipping,Grace Hughes,Priority movement of loan equipment to customer sites
FIN-0011,Accrual,Metrology Services,Field Service Partners,Contract labour,22300,2026-07-14,2026-08-28,2026-08,Review,High,Temporary contractor cover,Grace Hughes,Short-term contractor cover for metrology service backlog
FIN-0012,Forecast,Metrology Services,Renishaw Internal,Service margin recovery,-18400,2026-07-18,2026-08-31,2026-08,Approved,Low,Revenue-linked recovery,Grace Hughes,Expected service billing recovery from August visits
FIN-0013,Invoice,Global Supply Chain,Kuehne Nagel,Freight,58400,2026-07-02,2026-08-16,2026-08,Approved,High,Expedited freight,Oliver Chen,Air freight used to protect committed customer delivery dates
FIN-0014,Invoice,Global Supply Chain,Maersk,Ocean freight,34650,2026-07-06,2026-08-20,2026-08,Pending,Low,Standard inbound freight,Oliver Chen,Regular inbound shipment for production components
FIN-0015,Accrual,Global Supply Chain,Flexport,Customs and duties,18900,2026-07-13,2026-08-27,2026-08,Review,Medium,Duty estimate awaiting final paperwork,Oliver Chen,Accrual pending final customs documentation
FIN-0016,Forecast,Global Supply Chain,Renishaw Internal,Inventory release,-42100,2026-07-20,2026-08-31,2026-08,Approved,Low,Planned inventory reduction,Oliver Chen,Expected working capital benefit from slow-moving stock release
